Electoral District Number,Electoral District Name,Candidate Full Name,Political Party,Total Votes,Vote Share (%)
24035,LaSalle--Émard--Verdun,Bisma Ansari,Green Party,1298,2.4
24035,LaSalle--Émard--Verdun,Claude Guay,Liberal,27439,50.9
24035,LaSalle--Émard--Verdun,Craig Sauvé,NDP-New Democratic Party,5587,10.4
24035,LaSalle--Émard--Verdun,Fang Hu,Centrist,60,0.1
24035,LaSalle--Émard--Verdun,Frédéric Dénommé,Parti Rhinocéros Party,169,0.3
24035,LaSalle--Émard--Verdun,Gregory Yablunovsky,People's Party - PPC,260,0.5
24035,LaSalle--Émard--Verdun,Louis-Philippe Sauvé,Bloc Québécois,11467,21.3
24035,LaSalle--Émard--Verdun,Manuel Johnson,Communist,136,0.3
24035,LaSalle--Émard--Verdun,Normand Chouinard,Marxist-Leninist,81,0.2
24035,LaSalle--Émard--Verdun,Zsolt Fischer,Conservative,7456,13.8
24036,Laurentides--Labelle,Amélie Charbonneau,People's Party - PPC,749,1.4
24036,Laurentides--Labelle,Daniel Paquette,Conservative,7900,14.9
24036,Laurentides--Labelle,Emrick Vienneau,Liberal,18514,34.9
24036,Laurentides--Labelle,Marie-Hélène Gaudreau,Bloc Québécois,23615,44.6
24036,Laurentides--Labelle,Michel Le Comte,Green Party,864,1.6
24036,Laurentides--Labelle,Michel Noël De Tilly,NDP-New Democratic Party,1341,2.5
24037,Laurier--Sainte-Marie,Adrien Welsh,Communist,115,0.2
24037,Laurier--Sainte-Marie,Chantal Poulin,Parti Rhinocéros Party,195,0.4
24037,Laurier--Sainte-Marie,Dimitri Mourkes,Independent,38,0.1
24037,Laurier--Sainte-Marie,Dylan Perceval-Maxwell,Green Party,1452,2.8
24037,Laurier--Sainte-Marie,Emmanuel Lapierre,Bloc Québécois,8079,15.4
24037,Laurier--Sainte-Marie,Eugène Duplessis,People's Party - PPC,253,0.5
24037,Laurier--Sainte-Marie,Mathieu Fournier,Conservative,4796,9.2
24037,Laurier--Sainte-Marie,Michel Labelle,Marxist-Leninist,269,0.5
24037,Laurier--Sainte-Marie,Nimâ Machouf,NDP-New Democratic Party,9856,18.8
24037,Laurier--Sainte-Marie,Simon-Pierre Lauzon,Independent,62,0.1
24037,Laurier--Sainte-Marie,Steven Guilbeault,Liberal,27286,52.1
24038,Laval--Les Îles,Catherine Dansereau-Redhead,Bloc Québécois,8298,14.6
24038,Laval--Les Îles,Fayçal El-Khoury,Liberal,28302,49.7
24038,Laval--Les Îles,Konstantinos Merakos,Conservative,18355,32.2
24038,Laval--Les Îles,Étienne Loiselle-Schiettekatte,NDP-New Democratic Party,1961,3.4
24039,Les Pays-d'en-Haut,Ariane Charbonneau,Bloc Québécois,23750,36.1
24039,Les Pays-d'en-Haut,Eric-Abel Baland,NDP-New Democratic Party,1493,2.3
24039,Les Pays-d'en-Haut,George Mogiljansky,People's Party - PPC,639,1.0
24039,Les Pays-d'en-Haut,Karine Steinberger,Green Party,1038,1.6
24039,Les Pays-d'en-Haut,Tim Watchorn,Liberal,26967,41.0
24039,Les Pays-d'en-Haut,Vincent Leroux,Conservative,11816,18.0
24040,Lévis--Lotbinière,Ghislain Daigle,Liberal,20549,29.4
24040,Lévis--Lotbinière,Jacques Gourde,Conservative,33312,47.7
24040,Lévis--Lotbinière,Molly Cornish,NDP-New Democratic Party,1635,2.3
24040,Lévis--Lotbinière,Pier-Olivier Roy,People's Party - PPC,698,1.0
24040,Lévis--Lotbinière,Pierre Julien,Bloc Québécois,13627,19.5
24041,Longueuil--Charles-LeMoyne,Beritan Oerde,Bloc Québécois,13583,26.7
24041,Longueuil--Charles-LeMoyne,Donald Gagnon,Parti Rhinocéros Party,389,0.8
24041,Longueuil--Charles-LeMoyne,Marie-Andrée Gravel,NDP-New Democratic Party,2832,5.6
24041,Longueuil--Charles-LeMoyne,Sherry Romanado,Liberal,25138,49.4
24041,Longueuil--Charles-LeMoyne,Terry Roberts,Conservative,8547,16.8
24041,Longueuil--Charles-LeMoyne,Tiny Olinga,People's Party - PPC,411,0.8
24042,Longueuil--Saint-Hubert,Denis Trudel,Bloc Québécois,23468,39.7
24042,Longueuil--Saint-Hubert,Martine Boucher,Conservative,8447,14.3
24042,Longueuil--Saint-Hubert,Natilien Joseph,Liberal,24237,41.0
24042,Longueuil--Saint-Hubert,Nesrine Benhadj,NDP-New Democratic Party,2986,5.0
24043,Louis-Hébert,Claude Dussault,Conservative,12164,20.1
24043,Louis-Hébert,Jean-Paul Lussiaà-Berdou,NDP-New Democratic Party,1540,2.5
24043,Louis-Hébert,Joël Lightbound,Liberal,33512,55.4
24043,Louis-Hébert,Valérie Savard,Bloc Québécois,12897,21.3
24043,Louis-Hébert,Vatthana Maholy,People's Party - PPC,332,0.5
24044,Louis-Saint-Laurent--Akiawenhrahk,Anthony Leclerc,People's Party - PPC,527,0.8
24044,Louis-Saint-Laurent--Akiawenhrahk,Colette Ducharme,NDP-New Democratic Party,1607,2.4
24044,Louis-Saint-Laurent--Akiawenhrahk,Gérard Deltell,Conservative,29525,44.9
24044,Louis-Saint-Laurent--Akiawenhrahk,Martin Trudel,Bloc Québécois,12465,18.9
24044,Louis-Saint-Laurent--Akiawenhrahk,Rhode-Malaure Pierre,Liberal,21693,33.0
24045,Marc-Aurèle-Fortin,Alexandrah Cardona-Fortin,NDP-New Democratic Party,2128,3.7
24045,Marc-Aurèle-Fortin,Carlos Leitão,Liberal,29928,52.0
24045,Marc-Aurèle-Fortin,Claude Tousignant,Bloc Québécois,13584,23.6
24045,Marc-Aurèle-Fortin,Janina Moran,Conservative,11923,20.7
24046,Mégantic--L'Érable--Lotbinière,Charles Mckaig,Liberal,12594,21.5
24046,Mégantic--L'Érable--Lotbinière,Gabriel D'Astous,NDP-New Democratic Party,1066,1.8
24046,Mégantic--L'Érable--Lotbinière,Luc Berthold,Conservative,34470,58.8
24046,Mégantic--L'Érable--Lotbinière,Marek Spacek,People's Party - PPC,717,1.2
24046,Mégantic--L'Érable--Lotbinière,Réjean Hurteau,Bloc Québécois,9607,16.4
24046,Mégantic--L'Érable--Lotbinière,Yves Gilbert,Christian Heritage Party,181,0.3
24047,Mirabel,Albert Batten,NDP-New Democratic Party,1333,2.4
24047,Mirabel,Christian Montpetit,People's Party - PPC,400,0.7
24047,Mirabel,Jean-Denis Garon,Bloc Québécois,22494,39.9
24047,Mirabel,Mario Guay,Green Party,792,1.4
24047,Mirabel,Robert Fleming,Liberal,18796,33.4
24047,Mirabel,Serge Dubord,Conservative,12544,22.3
24048,Mount Royal,Adam Frank,NDP-New Democratic Party,2353,4.7
24048,Mount Royal,Anthony Housefather,Liberal,25544,51.1
24048,Mount Royal,Diane Johnston,Marxist-Leninist,216,0.4
24048,Mount Royal,Neil Oberman,Conservative,20244,40.5
24048,Mount Royal,Yegor Komarov,Bloc Québécois,1671,3.3
24049,Mont-Saint-Bruno--L'Acadie,Bienvenu-Olivier Ntumba,Liberal,32149,47.1
24049,Mont-Saint-Bruno--L'Acadie,Maria Korpijaakko,Green Party,833,1.2
24049,Mont-Saint-Bruno--L'Acadie,Mirabelle Leins,NDP-New Democratic Party,1590,2.3
24049,Mont-Saint-Bruno--L'Acadie,Nicolas Godin,Conservative,9335,13.7
24049,Mont-Saint-Bruno--L'Acadie,Noémie Rouillard,Bloc Québécois,23947,35.1
24049,Mont-Saint-Bruno--L'Acadie,Patrick Rochon,People's Party - PPC,397,0.6
24050,Montcalm,Denis Perreault,NDP-New Democratic Party,1893,3.2
24050,Montcalm,Fatima Badran,Liberal,15769,26.9
24050,Montcalm,Jean-Sébastien Lepage,Conservative,13589,23.2
24050,Montcalm,Luc Thériault,Bloc Québécois,27268,46.6
24051,Montmorency--Charlevoix,Alex Ouellet-Bélanger,Liberal,17101,28.8
24051,Montmorency--Charlevoix,Bart Cortenbach,People's Party - PPC,357,0.6
24051,Montmorency--Charlevoix,Caroline Desbiens,Bloc Québécois,19970,33.6
24051,Montmorency--Charlevoix,Gabriel Hardy,Conservative,20494,34.5
24051,Montmorency--Charlevoix,Gérard Briand,NDP-New Democratic Party,905,1.5
24051,Montmorency--Charlevoix,Élie Prud'Homme-Tessier,Green Party,580,1.0
24052,Notre-Dame-de-Grâce--Westmount,Alex Trainman Montagano,Independent,264,0.5
24052,Notre-Dame-de-Grâce--Westmount,Anna Gainey,Liberal,34226,64.0
24052,Notre-Dame-de-Grâce--Westmount,Arnold Downey,Green Party,1331,2.5
24052,Notre-Dame-de-Grâce--Westmount,Félix-Antoine Brault,Bloc Québécois,2652,5.0
24052,Notre-Dame-de-Grâce--Westmount,Malcolm Lewis-Richmond,NDP-New Democratic Party,3956,7.4
24052,Notre-Dame-de-Grâce--Westmount,Marc Perez,People's Party - PPC,256,0.5
24052,Notre-Dame-de-Grâce--Westmount,Neil Drabkin,Conservative,10517,19.7
24052,Notre-Dame-de-Grâce--Westmount,Rachel Hoffman,Marxist-Leninist,162,0.3
24052,Notre-Dame-de-Grâce--Westmount,Stephen Hensley,Parti Rhinocéros Party,126,0.2
24053,Outremont,Jonathan Pedneault,Green Party,4539,9.6
24053,Outremont,Rachel Bendayan,Liberal,26024,55.2
24053,Outremont,Ronan Reich,Conservative,5911,12.5
24053,Outremont,Rémi Lebeuf,Bloc Québécois,5644,12.0
24053,Outremont,Ève Péclet,NDP-New Democratic Party,5024,10.7
24054,Papineau,Garnet Colly,Marxist-Leninist,208,0.4
24054,Papineau,Julio Rivera,Conservative,4927,10.6
24054,Papineau,Marjorie Michel,Liberal,24700,53.0
24054,Papineau,Niall Ricardo,NDP-New Democratic Party,7606,16.3
24054,Papineau,Noah Cherney,People's Party - PPC,455,1.0
24054,Papineau,Sophy Forget Bélec,Bloc Québécois,7726,16.6
24054,Papineau,Stéphane Doucet,Communist,321,0.7
24054,Papineau,Xavier Watso,Parti Rhinocéros Party,676,1.5
24055,Pierre-Boucher--Les Patriotes--Verchères,Alexandre Blais,People's Party - PPC,528,0.8
24055,Pierre-Boucher--Les Patriotes--Verchères,Jean-François Filion,NDP-New Democratic Party,1541,2.5
24055,Pierre-Boucher--Les Patriotes--Verchères,Laurent de Casanove,Liberal,24217,38.8
24055,Pierre-Boucher--Les Patriotes--Verchères,Vincent Kunda,Conservative,7375,11.8
24055,Pierre-Boucher--Les Patriotes--Verchères,Xavier Barsalou-Duval,Bloc Québécois,28765,46.1
24056,Pierrefonds--Dollard,Eyad Mobayed,No Affiliation,48,0.1
24056,Pierrefonds--Dollard,Gordon Nash,People's Party - PPC,333,0.6
24056,Pierrefonds--Dollard,Kakou Richard Kouassi,NDP-New Democratic Party,1613,2.8
24056,Pierrefonds--Dollard,Katrina Archambault,Bloc Québécois,3097,5.4
24056,Pierrefonds--Dollard,Sameer Zuberi,Liberal,34326,60.1
24056,Pierrefonds--Dollard,Shahid Khan,Independent,266,0.5
24056,Pierrefonds--Dollard,Tanya Toledano,Conservative,17453,30.5
24057,Pontiac--Kitigan Zibi,Brian Nolan,Conservative,16221,27.6
24057,Pontiac--Kitigan Zibi,Claude Bertrand,Green Party,749,1.3
24057,Pontiac--Kitigan Zibi,Gilbert W. Whiteduck,NDP-New Democratic Party,2971,5.1
24057,Pontiac--Kitigan Zibi,Sophie Chatel,Liberal,32088,54.6
24057,Pontiac--Kitigan Zibi,Suzanne Proulx,Bloc Québécois,6071,10.3
24057,Pontiac--Kitigan Zibi,Todd Hoffman,People's Party - PPC,673,1.1
24058,Portneuf--Jacques-Cartier,Antonin Leroux,Liberal,18865,29.0
24058,Portneuf--Jacques-Cartier,Christian Hébert,Bloc Québécois,11606,17.9
24058,Portneuf--Jacques-Cartier,Félix Couture,NDP-New Democratic Party,1034,1.6
24058,Portneuf--Jacques-Cartier,Johann Queffelec,Green Party,728,1.1
24058,Portneuf--Jacques-Cartier,Joël Godin,Conservative,32184,49.6
24058,Portneuf--Jacques-Cartier,Simon Frenette,People's Party - PPC,524,0.8
24059,Québec Centre,Daniel Brisson,People's Party - PPC,2818,5.0
24059,Québec Centre,Jean-Yves Duclos,Liberal,27880,49.5
24059,Québec Centre,Patrick Kerr,Independent,1018,1.8
24059,Québec Centre,Simon Bérubé,Bloc Québécois,20203,35.9
24059,Québec Centre,Tommy Bureau,NDP-New Democratic Party,4400,7.8
24060,Repentigny,Benoit Lanoue,People's Party - PPC,384,0.6
24060,Repentigny,Charles Champagne,Conservative,9583,15.2
24060,Repentigny,Ednal Marc,Independent,314,0.5
24060,Repentigny,Nathalie Gagnon,NDP-New Democratic Party,1722,2.7
24060,Repentigny,Patrick Bonin,Bloc Québécois,26593,42.2
24060,Repentigny,Pierre Richard Thomas,Liberal,24419,38.8
24061,Richmond--Arthabaska,Alain Saint-Pierre,Liberal,20629,33.0
24061,Richmond--Arthabaska,Daniel Lebel,Bloc Québécois,17095,27.3
24061,Richmond--Arthabaska,Henri Donascimento,Independent,223,0.4
24061,Richmond--Arthabaska,Nataël Bureau,NDP-New Democratic Party,1248,2.0
24061,Richmond--Arthabaska,Philippe D'Arcangeli,People's Party - PPC,707,1.1
24061,Richmond--Arthabaska,Réal Batrhino Martel,Parti Rhinocéros Party,438,0.7
24061,Richmond--Arthabaska,Éric Lefebvre,Conservative,22206,35.5
24062,Rimouski--La Matapédia,Alexander Reford,Liberal,19201,35.5
24062,Rimouski--La Matapédia,Lysane Picker-Paquin,Parti Rhinocéros Party,295,0.5
24062,Rimouski--La Matapédia,Maxime Blanchette-Joncas,Bloc Québécois,24947,46.2
24062,Rimouski--La Matapédia,Nancy Joannette,Conservative,7324,13.6
24062,Rimouski--La Matapédia,Noémi Bureau-Civil,Independent,620,1.1
24062,Rimouski--La Matapédia,Raphaël Arsenault,Independent,242,0.4
24062,Rimouski--La Matapédia,Salomé Salvain,NDP-New Democratic Party,974,1.8
24062,Rimouski--La Matapédia,Taraneh Javanbakht,People's Party - PPC,338,0.6
24062,Rimouski--La Matapédia,Tommy Lefebvre,Independent,99,0.2
24063,Rivière-des-Mille-Îles,Alec Ware,Green Party,734,1.2
24063,Rivière-des-Mille-Îles,David Santamaria Quiceno,People's Party - PPC,306,0.5
24063,Rivière-des-Mille-Îles,Elia Lopez,Conservative,10398,17.4
24063,Rivière-des-Mille-Îles,Joseph Hakizimana,NDP-New Democratic Party,1270,2.1
24063,Rivière-des-Mille-Îles,Linda Lapointe,Liberal,27326,45.6
24063,Rivière-des-Mille-Îles,Luc Desilets,Bloc Québécois,19669,32.8
24063,Rivière-des-Mille-Îles,Michel Genois,Independent,184,0.3
24064,Rivière-du-Nord,Christel Marchand,NDP-New Democratic Party,2032,3.5
24064,Rivière-du-Nord,Mary-Helen Walton,Liberal,18345,31.6
24064,Rivière-du-Nord,Patricia Morrissette,Conservative,12203,21.0
24064,Rivière-du-Nord,Rhéal Fortin,Bloc Québécois,25438,43.8
24065,Rosemont--La Petite-Patrie,Alexandre Boulerice,NDP-New Democratic Party,24358,41.0
24065,Rosemont--La Petite-Patrie,Benoît Morham,Green Party,1368,2.3
24065,Rosemont--La Petite-Patrie,Jean-Sébastien Vallée,Liberal,18757,31.6
24065,Rosemont--La Petite-Patrie,Laetitia Tchatat,Conservative,4073,6.9
24065,Rosemont--La Petite-Patrie,Olivier Gignac,Bloc Québécois,10864,18.3
24066,Saint-Hyacinthe--Bagot--Acton,Gaëtan Deschênes,Conservative,10431,18.0
24066,Saint-Hyacinthe--Bagot--Acton,Martin Grenier,Green Party,800,1.4
24066,Saint-Hyacinthe--Bagot--Acton,Mélanie Bédard,Liberal,19504,33.6
24066,Saint-Hyacinthe--Bagot--Acton,Raymonde Plamondon,NDP-New Democratic Party,1373,2.4
24066,Saint-Hyacinthe--Bagot--Acton,Simon-Pierre Savard-Tremblay,Bloc Québécois,25447,43.9
24066,Saint-Hyacinthe--Bagot--Acton,Sylvain Pariseau,People's Party - PPC,431,0.7
24067,Saint-Jean,Christine Normandin,Bloc Québécois,28474,44.3
24067,Saint-Jean,Danielle Dubuc,NDP-New Democratic Party,1650,2.6
24067,Saint-Jean,Marie Louis-Seize,Conservative,10480,16.3
24067,Saint-Jean,Patrick Agbokou,Liberal,21999,34.3
24067,Saint-Jean,Tchad Deschenes,People's Party - PPC,624,1.0
24067,Saint-Jean,Vincent Piette,Green Party,988,1.5
24068,Saint-Laurent,Emmanuella Lambropoulos,Liberal,26021,58.9
24068,Saint-Laurent,Fernand Deschamps,Marxist-Leninist,137,0.3
24068,Saint-Laurent,Manon Chevalier,People's Party - PPC,349,0.8
24068,Saint-Laurent,Marielle Gendron,Bloc Québécois,2523,5.7
24068,Saint-Laurent,Richard Chambers,Green Party,693,1.6
24068,Saint-Laurent,Richard Serour,Conservative,12477,28.2
24068,Saint-Laurent,Ryan Byrne,NDP-New Democratic Party,1985,4.5
24069,Saint-Léonard--Saint-Michel,Caroline Mailloux,People's Party - PPC,388,0.9
24069,Saint-Léonard--Saint-Michel,Laurie Lelacheur,Bloc Québécois,2938,7.2
24069,Saint-Léonard--Saint-Michel,Marwan El Attar,NDP-New Democratic Party,2450,6.0
24069,Saint-Léonard--Saint-Michel,Panagiota Koroneos,Conservative,8457,20.6
24069,Saint-Léonard--Saint-Michel,Patricia Lattanzio,Liberal,26833,65.3
24070,Saint-Maurice--Champlain,David Rioux,People's Party - PPC,455,0.7
24070,Saint-Maurice--Champlain,Dji-Pé Frazer,Parti Rhinocéros Party,251,0.4
24070,Saint-Maurice--Champlain,François-Philippe Champagne,Liberal,31095,50.0
24070,Saint-Maurice--Champlain,Marie-Claude Gaudet,Green Party,704,1.1
24070,Saint-Maurice--Champlain,Nathalie Garceau,NDP-New Democratic Party,1224,2.0
24070,Saint-Maurice--Champlain,Pierre-Augustin Allard,Conservative,15321,24.6
24070,Saint-Maurice--Champlain,Thierry Bilodeau,Bloc Québécois,13190,21.2
24071,Shefford,Andréanne Larouche,Bloc Québécois,26726,40.1
24071,Shefford,Felix Dionne,Liberal,26155,39.3
24071,Shefford,James Seale,Conservative,11404,17.1
24071,Shefford,Patrick Jasmin,NDP-New Democratic Party,1557,2.3
24071,Shefford,Susanne Lefebvre,People's Party - PPC,789,1.2
24072,Sherbrooke,Alexandre Lépine,People's Party - PPC,576,0.9
24072,Sherbrooke,Esteban Méndez-Hord,Conservative,7983,13.1
24072,Sherbrooke,Jean-Pierre Fortier,NDP-New Democratic Party,3516,5.8
24072,Sherbrooke,Kevin McKenna,Green Party,1383,2.3
24072,Sherbrooke,Pierre-Étienne Rouillard,Bloc Québécois,16224,26.6
24072,Sherbrooke,Élisabeth Brière,Liberal,31249,51.3
24073,Terrebonne,Adrienne Charles,Conservative,10961,18.2
24073,Terrebonne,Benjamin Rankin,Green Party,630,1.0
24073,Terrebonne,Maria Cantore,People's Party - PPC,428,0.7
24073,Terrebonne,Maxime Beaudoin,NDP-New Democratic Party,1556,2.6
24073,Terrebonne,Nathalie Sinclair-Desgagné,Bloc Québécois,23351,38.7
24073,Terrebonne,Tatiana Auguste,Liberal,23352,38.7
24074,Thérèse-De Blainville,Chantal Lavoie,People's Party - PPC,446,0.7
24074,Thérèse-De Blainville,Julie Bergeron,Conservative,12019,18.7
24074,Thérèse-De Blainville,Madeleine Chenette,Liberal,29519,45.8
24074,Thérèse-De Blainville,Marie-Noëlle Closson-Duquette,Bloc Québécois,20828,32.3
24074,Thérèse-De Blainville,Michel Lacroix,NDP-New Democratic Party,1585,2.5
24075,Trois-Rivières,Caroline Desrochers,Liberal,25147,41.0
24075,Trois-Rivières,David Turcotte,Green Party,569,0.9
24075,Trois-Rivières,Mathieu Doyon,Parti Rhinocéros Party,215,0.4
24075,Trois-Rivières,Matthew Sévigny,NDP-New Democratic Party,1437,2.3
24075,Trois-Rivières,René Villemure,Bloc Québécois,16921,27.6
24075,Trois-Rivières,Yan Patry,People's Party - PPC,320,0.5
24075,Trois-Rivières,Yves Levesque,Conservative,16708,27.2
24076,Vaudreuil,Christopher Massé,Bloc Québécois,10571,14.9
24076,Vaudreuil,Dave Hamelin-Schuilenburg,Green Party,957,1.4
24076,Vaudreuil,Jean Boily,People's Party - PPC,527,0.7
24076,Vaudreuil,Kalden Dhatsenpa,NDP-New Democratic Party,1602,2.3
24076,Vaudreuil,Peter Schiefke,Liberal,40982,57.9
24076,Vaudreuil,Thomas Barré,Conservative,16179,22.8
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Giovanni Di Placido,Parti Rhinocéros Party,209,0.4
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Kevin Majaducon,Bloc Québécois,4364,9.0
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Marc Miller,Liberal,30905,63.7
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Nathe Perrone,Green Party,996,2.1
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Steve Shanahan,Conservative,9113,18.8
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Suzanne Dufresne,NDP-New Democratic Party,2932,6.0
24078,Vimy,Alicia Parenteau-Malakhanian,Bloc Québécois,8526,17.2
24078,Vimy,Annie Koutrakis,Liberal,26531,53.4
24078,Vimy,Cindy Mercer,NDP-New Democratic Party,2342,4.7
24078,Vimy,Grace Daou,Conservative,12278,24.7
35001,Ajax,Faisal Ali,Centrist,643,1.0
35001,Ajax,Greg Brady,Conservative,25658,39.1
35001,Ajax,Jennifer McKelvie,Liberal,36975,56.3
35001,Ajax,Kyle Forster,NDP-New Democratic Party,1762,2.7
35001,Ajax,Leigh Paulseth,Green Party,612,0.9
35002,Algonquin--Renfrew--Pembroke,Cheryl Gallant,Conservative,37333,55.7
35002,Algonquin--Renfrew--Pembroke,Cyndi Mills,Liberal,25338,37.8
35002,Algonquin--Renfrew--Pembroke,Danilo Velasquez,Green Party,618,0.9
35002,Algonquin--Renfrew--Pembroke,Eileen Jones-Whyte,NDP-New Democratic Party,2469,3.7
35002,Algonquin--Renfrew--Pembroke,Randy Briand,United Party of Canada (UP),909,1.4
35002,Algonquin--Renfrew--Pembroke,Seth Malina,Independent,229,0.3
35002,Algonquin--Renfrew--Pembroke,Stefan Klietsch,Independent,122,0.2
35003,Aurora--Oak Ridges--Richmond Hill,Costas Menegakis,Conservative,34023,54.7
35003,Aurora--Oak Ridges--Richmond Hill,Danielle Maniuk,NDP-New Democratic Party,835,1.3
35003,Aurora--Oak Ridges--Richmond Hill,Igor Tvorogov,People's Party - PPC,256,0.4
35003,Aurora--Oak Ridges--Richmond Hill,Leah Taylor Roy,Liberal,26590,42.8
35003,Aurora--Oak Ridges--Richmond Hill,Tom Muench,Green Party,465,0.7
35004,Barrie South--Innisfil,Andrew Harrigan,NDP-New Democratic Party,2130,3.2
35004,Barrie South--Innisfil,John Brassard,Conservative,38943,57.8
35004,Barrie South--Innisfil,John Olthuis,Liberal,25557,38.0
35004,Barrie South--Innisfil,Mark Sampson,People's Party - PPC,695,1.0
35005,Barrie--Springwater--Oro-Medonte,Doug Shipley,Conservative,33949,51.7
35005,Barrie--Springwater--Oro-Medonte,Gabriela Trujillo,NDP-New Democratic Party,1559,2.4
35005,Barrie--Springwater--Oro-Medonte,Greg Taylor,Green Party,893,1.4
35005,Barrie--Springwater--Oro-Medonte,Michael Speers,Communist,158,0.2
35005,Barrie--Springwater--Oro-Medonte,Rose Zacharias,Liberal,29150,44.4
35006,Bay of Quinte,Chris Malette,Liberal,32846,50.4
35006,Bay of Quinte,Erica Charlton,Green Party,833,1.3
35006,Bay of Quinte,Kate Crothers,NDP-New Democratic Party,2373,3.6
35006,Bay of Quinte,Ryan Williams,Conservative,29130,44.7
35007,Beaches--East York,Diane Joseph,Independent,161,0.3
35007,Beaches--East York,Elizabeth Rowley,Communist,146,0.2
35007,Beaches--East York,Jack Pennings,Green Party,748,1.3
35007,Beaches--East York,Jocelyne Poirier,Conservative,13830,23.5
35007,Beaches--East York,Nate Erskine-Smith,Liberal,39804,67.7
35007,Beaches--East York,Shannon Devine,NDP-New Democratic Party,4027,6.9
35007,Beaches--East York,Steve Rutchinski,Marxist-Leninist,39,0.1
35008,Bowmanville--Oshawa North,Adam Smith,Parti Rhinocéros Party,68,0.1
35008,Bowmanville--Oshawa North,Bridget Girard,Liberal,32214,45.5
35008,Bowmanville--Oshawa North,Clint Cole,United Party of Canada (UP),143,0.2
35008,Bowmanville--Oshawa North,Elenor Marano,NDP-New Democratic Party,2032,2.9
35008,Bowmanville--Oshawa North,Ghuzna Imam,Centrist,134,0.2
35008,Bowmanville--Oshawa North,Jamil Jivani,Conservative,35232,49.8
35008,Bowmanville--Oshawa North,Julie Dietrich,Green Party,546,0.8
35008,Bowmanville--Oshawa North,Pranay Gunti,Independent,264,0.4
35008,Bowmanville--Oshawa North,Thomas Zekveld,Christian Heritage Party,155,0.2
35009,Brampton Centre,Amandeep Sodhi,Liberal,19716,48.4
35009,Brampton Centre,Anil Boodhai,NDP-New Democratic Party,1085,2.7
35009,Brampton Centre,Harsimran Kaur Hundal,People's Party - PPC,288,0.7
35009,Brampton Centre,Ray Shaver,Green Party,469,1.2
35009,Brampton Centre,Taha Nazir,Centrist,97,0.2
35009,Brampton Centre,Taran Chahal,Conservative,19105,46.9
35010,Brampton--Chinguacousy Park,Avi Dhaliwal,Independent,328,0.7
35010,Brampton--Chinguacousy Park,Hafiz Muneeb Ahmad,Centrist,194,0.4
35010,Brampton--Chinguacousy Park,Jayesh Brahmbhatt,People's Party - PPC,741,1.7
35010,Brampton--Chinguacousy Park,Mike Dancy,Green Party,521,1.2
35010,Brampton--Chinguacousy Park,Shafqat Ali,Liberal,21532,48.8
35010,Brampton--Chinguacousy Park,Teresa Yeh,NDP-New Democratic Party,1173,2.7
35010,Brampton--Chinguacousy Park,Tim Iqbal,Conservative,19591,44.4
35011,Brampton East,Abdus S Kissana,Centrist,132,0.3
35011,Brampton East,Bob Dosanjh Singh,Conservative,21731,44.7
35011,Brampton East,Haramrit Singh,NDP-New Democratic Party,821,1.7
35011,Brampton East,Jeff Lal,People's Party - PPC,2305,4.7
35011,Brampton East,Maninder Sidhu,Liberal,23616,48.6
35012,Brampton North--Caledon,Amandeep Judge,Conservative,22105,47.4
35012,Brampton North--Caledon,Ruby Sahota,Liberal,22847,49.0
35012,Brampton North--Caledon,Ruby Zaman,NDP-New Democratic Party,1008,2.2
35012,Brampton North--Caledon,Sat Anand,People's Party - PPC,635,1.4
35013,Brampton South,Manmohan Khroud,Independent,274,0.6
35013,Brampton South,Rajni Sharma,NDP-New Democratic Party,777,1.7
35013,Brampton South,Sonia Sidhu,Liberal,22001,49.3
35013,Brampton South,Sukhdeep Kang,Conservative,21193,47.5
35013,Brampton South,Vijay Kumar,People's Party - PPC,358,0.8
35014,Brampton West,Amarjeet Gill,Conservative,21112,49.8
35014,Brampton West,Kamal Khera,Liberal,20194,47.6
35014,Brampton West,Khawaja Amir Hassan,Centrist,95,0.2
35014,Brampton West,Sameera Khan,Green Party,278,0.7
35014,Brampton West,Zaigham Javed,NDP-New Democratic Party,708,1.7
35015,Brantford--Brant South--Six Nations,Anne Gajerski-Cauley,NDP-New Democratic Party,2410,3.7
35015,Brantford--Brant South--Six Nations,Clo Marie,Independent,80,0.1
35015,Brantford--Brant South--Six Nations,Joy O'Donnell,Liberal,27032,41.1
35015,Brantford--Brant South--Six Nations,Karleigh Csordas,Green Party,1110,1.7
35015,Brantford--Brant South--Six Nations,Larry Brock,Conservative,34501,52.4
35015,Brantford--Brant South--Six Nations,Leslie Bory,Independent,120,0.2
35015,Brantford--Brant South--Six Nations,Mike Clancy,Independent,148,0.2
35015,Brantford--Brant South--Six Nations,Nicholas Xenos,People's Party - PPC,392,0.6
35016,Bruce--Grey--Owen Sound,Alex Ruff,Conservative,35484,53.0
35016,Bruce--Grey--Owen Sound,Ann Gillies,United Party of Canada (UP),554,0.8
