Electoral District Number,Electoral District Name,Candidate Full Name,Political Party,Total Votes
24026,Hochelaga--Rosemont-Est,Marie-Gabrielle Ménard,Liberal,23601
24026,Hochelaga--Rosemont-Est,Rose Lessard,Bloc Québécois,13902
24027,Honoré-Mercier,Djaouida Sellah,NDP-New Democratic Party,1787
24027,Honoré-Mercier,Edline Henri,Bloc Québécois,6435
24027,Honoré-Mercier,Eric St-Pierre,Liberal,29947
24027,Honoré-Mercier,Gaëtan Bérard,Green Party,568
24027,Honoré-Mercier,Ingrid Fernanda Megni,Conservative,10692
24027,Honoré-Mercier,Marie-Louise Beauchamp,People's Party - PPC,351
24028,Hull--Aylmer,Alexandre Deschênes,Marxist-Leninist,208
24028,Hull--Aylmer,Alice Grondin,Bloc Québécois,6248
24028,Hull--Aylmer,Frédéric Morin-Paquette,Green Party,1130
24028,Hull--Aylmer,Greg Fergus,Liberal,31978
24028,Hull--Aylmer,Jean-Jacques Desgranges,People's Party - PPC,341
24028,Hull--Aylmer,Jill Declare,Conservative,8727
24028,Hull--Aylmer,Pascale Matecki,NDP-New Democratic Party,2855
24029,Joliette--Manawan,Gabriel Ste-Marie,Bloc Québécois,28196
24029,Joliette--Manawan,Marc Allaire,Liberal,17890
24029,Joliette--Manawan,Pascal Bapfou Vozang Siewe,Conservative,8721
24029,Joliette--Manawan,Vanessa Gordon,NDP-New Democratic Party,1408
24029,Joliette--Manawan,Érica Poirier,Green Party,1014
24030,Jonquière,Fanny Boulanger,Conservative,15314
24030,Jonquière,Lise Garon,NDP-New Democratic Party,932
24030,Jonquière,Marie-Josée Yelle,Green Party,448
24030,Jonquière,Mario Simard,Bloc Québécois,20247
24030,Jonquière,Patrick Gaudreault,People's Party - PPC,516
24030,Jonquière,William Van Tassel,Liberal,13172
24031,La Pointe-de-l'Île,Geneviève Royer,Marxist-Leninist,181
24031,La Pointe-de-l'Île,Ghada Chaabi,NDP-New Democratic Party,2279
24031,La Pointe-de-l'Île,Mario Beaulieu,Bloc Québécois,22940
24031,La Pointe-de-l'Île,Olivier Huard,Green Party,977
24031,La Pointe-de-l'Île,Violetta Potapova,Conservative,6781
24031,La Pointe-de-l'Île,Viviane Minko,Liberal,20051
24032,La Prairie--Atateken,Alain Therrien,Bloc Québécois,23232
24032,La Prairie--Atateken,Barbara Joannette,Green Party,657
24032,La Prairie--Atateken,Dave Pouliot,Conservative,11505
24032,La Prairie--Atateken,Jacques Ramsay,Liberal,29418
24032,La Prairie--Atateken,Mathieu Boisvert,NDP-New Democratic Party,1588
24032,La Prairie--Atateken,Ruth Fontaine,People's Party - PPC,361
24033,Lac-Saint-Jean,Alexis Brunelle-Duceppe,Bloc Québécois,22069
24033,Lac-Saint-Jean,Dave Blackburn,Conservative,11792
24033,Lac-Saint-Jean,Denis Lemieux,Liberal,12536
24033,Lac-Saint-Jean,Hugues Boily-Maltais,NDP-New Democratic Party,819
24033,Lac-Saint-Jean,Lorie Bouchard,People's Party - PPC,540
24034,Lac-Saint-Louis,Francis Scarpaleggia,Liberal,43446
24034,Lac-Saint-Louis,Gregory Evdokias,NDP-New Democratic Party,1877
24034,Lac-Saint-Louis,Mathieu Dufort,People's Party - PPC,471
24034,Lac-Saint-Louis,Matthew Rusniak,Conservative,15203
24034,Lac-Saint-Louis,Raymond Frizzell,Green Party,915
24034,Lac-Saint-Louis,Tommy Fournier,Bloc Québécois,2330
24035,LaSalle--Émard--Verdun,Bisma Ansari,Green Party,1298
24035,LaSalle--Émard--Verdun,Claude Guay,Liberal,27439
24035,LaSalle--Émard--Verdun,Craig Sauvé,NDP-New Democratic Party,5587
24035,LaSalle--Émard--Verdun,Fang Hu,Centrist,60
24035,LaSalle--Émard--Verdun,Frédéric Dénommé,Parti Rhinocéros Party,169
24035,LaSalle--Émard--Verdun,Gregory Yablunovsky,People's Party - PPC,260
24035,LaSalle--Émard--Verdun,Louis-Philippe Sauvé,Bloc Québécois,11467
24035,LaSalle--Émard--Verdun,Manuel Johnson,Communist,136
24035,LaSalle--Émard--Verdun,Normand Chouinard,Marxist-Leninist,81
24035,LaSalle--Émard--Verdun,Zsolt Fischer,Conservative,7456
24036,Laurentides--Labelle,Amélie Charbonneau,People's Party - PPC,749
24036,Laurentides--Labelle,Daniel Paquette,Conservative,7900
24036,Laurentides--Labelle,Emrick Vienneau,Liberal,18514
24036,Laurentides--Labelle,Marie-Hélène Gaudreau,Bloc Québécois,23615
24036,Laurentides--Labelle,Michel Le Comte,Green Party,864
24036,Laurentides--Labelle,Michel Noël De Tilly,NDP-New Democratic Party,1341
24037,Laurier--Sainte-Marie,Adrien Welsh,Communist,115
24037,Laurier--Sainte-Marie,Chantal Poulin,Parti Rhinocéros Party,195
24037,Laurier--Sainte-Marie,Dimitri Mourkes,Independent,38
24037,Laurier--Sainte-Marie,Dylan Perceval-Maxwell,Green Party,1452
24037,Laurier--Sainte-Marie,Emmanuel Lapierre,Bloc Québécois,8079
24037,Laurier--Sainte-Marie,Eugène Duplessis,People's Party - PPC,253
24037,Laurier--Sainte-Marie,Mathieu Fournier,Conservative,4796
24037,Laurier--Sainte-Marie,Michel Labelle,Marxist-Leninist,269
24037,Laurier--Sainte-Marie,Nimâ Machouf,NDP-New Democratic Party,9856
24037,Laurier--Sainte-Marie,Simon-Pierre Lauzon,Independent,62
