Electoral District Number,Electoral District Name,Candidate Full Name,Political Party,Total Votes
48027,Lakeland,Barry Milaney,Liberal,6886
48027,Lakeland,Bridget Burns,Green Party,411
48027,Lakeland,Des Bissonnette,NDP-New Democratic Party,2153
48027,Lakeland,Michael Manchen,People's Party - PPC,982
48027,Lakeland,Micheal Speirs,Christian Heritage Party,335
48027,Lakeland,Shannon Stubbs,Conservative,45826
48028,Leduc--Wetaskiwin,Christopher Everingham,Canadian Future Party,145
48028,Leduc--Wetaskiwin,Jose Flores,People's Party - PPC,688
48028,Leduc--Wetaskiwin,Katherine Swampy,NDP-New Democratic Party,3927
48028,Leduc--Wetaskiwin,Kirk Cayer,United Party of Canada (UP),318
48028,Leduc--Wetaskiwin,Mike Lake,Conservative,47947
48028,Leduc--Wetaskiwin,Ronald Brochu,Liberal,11136
48029,Lethbridge,Amber Murray,Green Party,457
48029,Lethbridge,Chris Spearman,Liberal,21899
48029,Lethbridge,Clara Piedalue,People's Party - PPC,478
48029,Lethbridge,Marc Slingerland,Christian Heritage Party,806
48029,Lethbridge,Nathan Svoboda,NDP-New Democratic Party,2431
48029,Lethbridge,Rachael Thomas,Conservative,40866
48030,Medicine Hat--Cardston--Warner,Andy Shadrack,Green Party,440
48030,Medicine Hat--Cardston--Warner,Glen Motz,Conservative,41518
48030,Medicine Hat--Cardston--Warner,Jocelyn Johnson,NDP-New Democratic Party,2588
48030,Medicine Hat--Cardston--Warner,Tom Rooke,Liberal,9554
48031,Parkland,Ashley Fearnall,Liberal,12690
48031,Parkland,Dane Lloyd,Conservative,53468
48031,Parkland,Daniel Birrell,Green Party,449
48031,Parkland,Jason Lavigne,People's Party - PPC,1066
48031,Parkland,Keri Goad,NDP-New Democratic Party,2949
48031,Parkland,Kevin Schulthies,Christian Heritage Party,198
48031,Parkland,Wade Klassen,United Party of Canada (UP),287
48032,Peace River--Westlock,Arnold Viersen,Conservative,41130
48032,Peace River--Westlock,Darrell Teske,Independent,3048
48032,Peace River--Westlock,Landen Tischer,NDP-New Democratic Party,2913
48032,Peace River--Westlock,Luke Markowski,Liberal,6278
48033,Ponoka--Didsbury,Blaine Calkins,Conservative,56106
48033,Ponoka--Didsbury,Grant Abraham,United Party of Canada (UP),2129
48033,Ponoka--Didsbury,Larry Gratton,People's Party - PPC,1289
48033,Ponoka--Didsbury,Logan Hooley,NDP-New Democratic Party,7414
48033,Ponoka--Didsbury,Zarnab Zafar,No Affiliation,1641
48034,Red Deer,Ashley MacDonald,Green Party,618
48034,Red Deer,Ayaz Bangash,Liberal,13564
48034,Red Deer,Brandon Pringle,Christian Heritage Party,219
48034,Red Deer,Burton Bailey,Conservative,44239
48034,Red Deer,Elias Assefa,NDP-New Democratic Party,2375
48034,Red Deer,Kyla Courte,People's Party - PPC,813
48035,Sherwood Park--Fort Saskatchewan,Chris Jones,NDP-New Democratic Party,4136
48035,Sherwood Park--Fort Saskatchewan,Garnett Genuis,Conservative,54131
48035,Sherwood Park--Fort Saskatchewan,Jay Sobel,People's Party - PPC,497
48035,Sherwood Park--Fort Saskatchewan,Mark Horseman,Canadian Future Party,237
48035,Sherwood Park--Fort Saskatchewan,Randall Emmons,Green Party,448
48035,Sherwood Park--Fort Saskatchewan,Tanya Holm,Liberal,22178
48036,St. Albert--Sturgeon River,Brigitte Cecelia,People's Party - PPC,820
48036,St. Albert--Sturgeon River,Dorothy Anderson,NDP-New Democratic Party,3684
48036,St. Albert--Sturgeon River,Jeff Willerton,Christian Heritage Party,264
48036,St. Albert--Sturgeon River,Lucia Stachurski,Liberal,22977
48036,St. Albert--Sturgeon River,Michael Cooper,Conservative,49216
48037,Yellowhead,Avni Soma,NDP-New Democratic Party,2753
48037,Yellowhead,Dale Heath,Christian Heritage Party,253
48037,Yellowhead,Michael Fark,Liberal,17469
48037,Yellowhead,Vicky Bayford,People's Party - PPC,952
48037,Yellowhead,William Stevenson,Conservative,47863
59001,Abbotsford--South Langley,Aeriol Alderking,People's Party - PPC,459
59001,Abbotsford--South Langley,Dharmasena Yakandawela,NDP-New Democratic Party,2104
59001,Abbotsford--South Langley,Kevin Gillies,Liberal,18969
59001,Abbotsford--South Langley,Melissa Snazell,Green Party,577
59001,Abbotsford--South Langley,Michael de Jong,Independent,9747
59001,Abbotsford--South Langley,Sukhman Gill,Conservative,24116
59002,Burnaby Central,Jagmeet Singh,NDP-New Democratic Party,9353
59002,Burnaby Central,James Yan,Conservative,19889
59002,Burnaby Central,Richard Farbridge,People's Party - PPC,506
59002,Burnaby Central,Wade Chang,Liberal,21745
59003,Burnaby North--Seymour,Jesse Fulton,People's Party - PPC,366
59003,Burnaby North--Seymour,Mauro Francis,Conservative,21742
59003,Burnaby North--Seymour,Michael Charrois,NDP-New Democratic Party,4121
59003,Burnaby North--Seymour,Terry Beech,Liberal,37829
59004,Cariboo--Prince George,Angie Bonazzo,NDP-New Democratic Party,3900
59004,Cariboo--Prince George,Clinton Emslie,Liberal,19243
59004,Cariboo--Prince George,Jake Wiens,Christian Heritage Party,174
59004,Cariboo--Prince George,Jodie Capling,Green Party,1155
59004,Cariboo--Prince George,Kenneth B. Thomson,Independent,208
59004,Cariboo--Prince George,Rudy Sans,People's Party - PPC,436
59004,Cariboo--Prince George,Todd Doherty,Conservative,38175
59005,Chilliwack--Hope,Christopher Adam,United Party of Canada (UP),129
59005,Chilliwack--Hope,Jeff Galbraith,People's Party - PPC,482
59005,Chilliwack--Hope,Mark Strahl,Conservative,36027
59005,Chilliwack--Hope,Salina Derish,Green Party,1083
59005,Chilliwack--Hope,Teri Westerby,NDP-New Democratic Party,4779
59005,Chilliwack--Hope,Zeeshan Khan,Liberal,23254
59006,Cloverdale--Langley City,Jim McMurtry,People's Party - PPC,289
59006,Cloverdale--Langley City,Kevin Daniel Wilkie,Green Party,493
59006,Cloverdale--Langley City,Kyle Latchford,Liberal,24828
59006,Cloverdale--Langley City,Tamara Jansen,Conservative,25606
59006,Cloverdale--Langley City,Vanessa Sharma,NDP-New Democratic Party,2350
59007,Columbia--Kootenay--Southern Rockies,James Wiedrick,Independent,856
59007,Columbia--Kootenay--Southern Rockies,Kallee Lins,NDP-New Democratic Party,12871
59007,Columbia--Kootenay--Southern Rockies,Laurie Baird,People's Party - PPC,486
59007,Columbia--Kootenay--Southern Rockies,Reggie Goldsbury,Liberal,20184
59007,Columbia--Kootenay--Southern Rockies,Rob Morrison,Conservative,36081
59007,Columbia--Kootenay--Southern Rockies,Steven Maffioli,Green Party,1064
59008,Coquitlam--Port Coquitlam,Iain Black,Conservative,24730
59008,Coquitlam--Port Coquitlam,Laura Dupont,NDP-New Democratic Party,4253
59008,Coquitlam--Port Coquitlam,Lewis Clarke Dahlby,Libertarian,785
59008,Coquitlam--Port Coquitlam,Michael Peter Glenister,Green Party,504
59008,Coquitlam--Port Coquitlam,Ron McKinnon,Liberal,27250
59009,Courtenay--Alberni,Brian Cameron,Liberal,18078
59009,Courtenay--Alberni,Chris Markevich,Green Party,1352
59009,Courtenay--Alberni,Gord Johns,NDP-New Democratic Party,31617
59009,Courtenay--Alberni,Jesse Musial,Christian Heritage Party,69
59009,Courtenay--Alberni,Kris McNichol,Conservative,28028
59009,Courtenay--Alberni,Teresa Knight,Animal Protection Party,195
59009,Courtenay--Alberni,Thomas Gamble,People's Party - PPC,427
59010,Cowichan--Malahat--Langford,Alistair MacGregor,NDP-New Democratic Party,24826
59010,Cowichan--Malahat--Langford,Blair Herbert,Liberal,21478
59010,Cowichan--Malahat--Langford,Jeff Kibble,Conservative,28370
59010,Cowichan--Malahat--Langford,Kathleen Code,Green Party,1500
59011,Delta,Jason McCormick,NDP-New Democratic Party,2787
59011,Delta,Jessy Sahota,Conservative,27314
59011,Delta,Jill McKnight,Liberal,32802
59011,Delta,Natasa Sirotic,People's Party - PPC,390
59012,Esquimalt--Saanich--Sooke,Ben Homer-Dixon,Green Party,1959
59012,Esquimalt--Saanich--Sooke,David Schaafsma,Christian Heritage Party,159
59012,Esquimalt--Saanich--Sooke,Grant Cool,Conservative,21082
59012,Esquimalt--Saanich--Sooke,Maja Tait,NDP-New Democratic Party,13666
59012,Esquimalt--Saanich--Sooke,Param Bhatti,Independent,152
59012,Esquimalt--Saanich--Sooke,Robert Crooks,Communist,136
59012,Esquimalt--Saanich--Sooke,Stephanie McLean,Liberal,36181
59013,Fleetwood--Port Kells,Gurbux Saini,Liberal,23250
59013,Fleetwood--Port Kells,John Hetherington,People's Party - PPC,499
59013,Fleetwood--Port Kells,Murali Krishnan,Green Party,460
59013,Fleetwood--Port Kells,Shannon Permal,NDP-New Democratic Party,2885
59013,Fleetwood--Port Kells,Sukh Pandher,Conservative,21439
59014,Kamloops--Shuswap--Central Rockies,John Michael Henry,People's Party - PPC,602
59014,Kamloops--Shuswap--Central Rockies,Ken Robertson,Liberal,26529
59014,Kamloops--Shuswap--Central Rockies,Mel Arnold,Conservative,35556
59014,Kamloops--Shuswap--Central Rockies,Owen Madden,Green Party,1639
59014,Kamloops--Shuswap--Central Rockies,Phaedra Idzan,NDP-New Democratic Party,3730
59015,Kamloops--Thompson--Nicola,Chris Enns,People's Party - PPC,516
59015,Kamloops--Thompson--Nicola,Frank Caputo,Conservative,32008
59015,Kamloops--Thompson--Nicola,Iain Currie,Liberal,24961
59015,Kamloops--Thompson--Nicola,Jenna Lindley,Green Party,936
59015,Kamloops--Thompson--Nicola,Miguel Godau,NDP-New Democratic Party,3681
59016,Kelowna,Catriona Wright,Green Party,578
59016,Kelowna,Stephen Fuhr,Liberal,28702
59016,Kelowna,Tracy Gray,Conservative,27620
59016,Kelowna,Trevor McAleese,NDP-New Democratic Party,1941
59017,Langley Township--Fraser Heights,Alex Joehl,Libertarian,347
59017,Langley Township--Fraser Heights,Debora Soutar,Green Party,491
59017,Langley Township--Fraser Heights,Holly Isaac,NDP-New Democratic Party,2611
59017,Langley Township--Fraser Heights,John Aldag,Liberal,28034
59017,Langley Township--Fraser Heights,Sepehr Haghighat,People's Party - PPC,303
59017,Langley Township--Fraser Heights,Tako Van Popta,Conservative,33574
59018,Mission--Matsqui--Abbotsford,Brad Vis,Conservative,33791
59018,Mission--Matsqui--Abbotsford,Jeff Howe,Liberal,21838
59018,Mission--Matsqui--Abbotsford,John Kidder,Green Party,723
59018,Mission--Matsqui--Abbotsford,Jules Côté,NDP-New Democratic Party,2745
59018,Mission--Matsqui--Abbotsford,Kevin Sinclair,People's Party - PPC,502
59019,Nanaimo--Ladysmith,Lisa Marie Barron,NDP-New Democratic Party,13586
59019,Nanaimo--Ladysmith,Michelle Corfield,Liberal,20656
59019,Nanaimo--Ladysmith,Paul Manly,Green Party,13485
59019,Nanaimo--Ladysmith,Stephen Welton,People's Party - PPC,289
59019,Nanaimo--Ladysmith,Tamara Kronis,Conservative,26381
59020,New Westminster--Burnaby--Maillardville,Indy Panchi,Conservative,17507
59020,New Westminster--Burnaby--Maillardville,Jake Sawatzky,Liberal,19547
59020,New Westminster--Burnaby--Maillardville,Lourence Almonte Singh,Independent,385
59020,New Westminster--Burnaby--Maillardville,Peter Julian,NDP-New Democratic Party,17574
59020,New Westminster--Burnaby--Maillardville,Tara Shushtarian,Green Party,690
59021,North Island--Powell River,Aaron Gunn,Conservative,31356
59021,North Island--Powell River,Glen Staples,Independent,152
59021,North Island--Powell River,Jennifer Lash,Liberal,21218
59021,North Island--Powell River,Jessica Wegg,Green Party,1505
59021,North Island--Powell River,Paul Macknight,People's Party - PPC,341
59021,North Island--Powell River,Tanille Johnston,NDP-New Democratic Party,26357
59022,North Vancouver--Capilano,Andrew Robinson,Green Party,1076
59022,North Vancouver--Capilano,Ehsan Arjmand,People's Party - PPC,256
59022,North Vancouver--Capilano,Jonathan Wilkinson,Liberal,37907
59022,North Vancouver--Capilano,Oliver King,Independent,102
59022,North Vancouver--Capilano,Stephen Curran,Conservative,21339
59022,North Vancouver--Capilano,Tammy Bentz,NDP-New Democratic Party,2684
59023,Okanagan Lake West--South Kelowna,Dan Albas,Conservative,33219
59023,Okanagan Lake West--South Kelowna,Debbie Robinson,People's Party - PPC,307
59023,Okanagan Lake West--South Kelowna,Gary Suddard,Canadian Future Party,90
59023,Okanagan Lake West--South Kelowna,Harpreet Badohal,NDP-New Democratic Party,2189
59023,Okanagan Lake West--South Kelowna,Juliette Sicotte,Liberal,28827
59023,Okanagan Lake West--South Kelowna,Louise Lecouffe,Green Party,602
59024,Pitt Meadows--Maple Ridge,Angie Rowell,Liberal,30728
59024,Pitt Meadows--Maple Ridge,Chris Lehner,People's Party - PPC,368
59024,Pitt Meadows--Maple Ridge,Daniel Heydenrych,NDP-New Democratic Party,4141
59024,Pitt Meadows--Maple Ridge,Marc Dalton,Conservative,31924
59024,Pitt Meadows--Maple Ridge,Peter Buddle,Parti Rhinocéros Party,172
59025,Port Moody--Coquitlam,Bonita Zarrillo,NDP-New Democratic Party,9360
59025,Port Moody--Coquitlam,Nash Milani,Green Party,519
59025,Port Moody--Coquitlam,Paul Lambert,Conservative,25126
59025,Port Moody--Coquitlam,Roland Verrier,Marxist-Leninist,117
59025,Port Moody--Coquitlam,Zoe Royer,Liberal,27074
59026,Prince George--Peace River--Northern Rockies,Bob Zimmer,Conservative,41956
59026,Prince George--Peace River--Northern Rockies,Cory Grizz Longley,NDP-New Democratic Party,3542
59026,Prince George--Peace River--Northern Rockies,David Watson,People's Party - PPC,690
59026,Prince George--Peace River--Northern Rockies,Mary Forbes,Green Party,1259
59026,Prince George--Peace River--Northern Rockies,Peter Njenga,Liberal,11545
59027,Richmond Centre--Marpole,Chak Au,Conservative,23532
59027,Richmond Centre--Marpole,David Wang,People's Party - PPC,193
59027,Richmond Centre--Marpole,Martin Li,NDP-New Democratic Party,2109
59027,Richmond Centre--Marpole,Michael Sisler,Green Party,420
59027,Richmond Centre--Marpole,Wilson Miao,Liberal,21232
59028,Richmond East--Steveston,Keefer Pelech,NDP-New Democratic Party,2251
59028,Richmond East--Steveston,Parm Bains,Liberal,25705
59028,Richmond East--Steveston,Steven Ji,Green Party,494
59028,Richmond East--Steveston,Zach Segal,Conservative,24605
59029,Saanich--Gulf Islands,Cathie Ounsted,Conservative,20015
59029,Saanich--Gulf Islands,Colin Plant,NDP-New Democratic Party,3163
59029,Saanich--Gulf Islands,David Beckham,Liberal,25409
59029,Saanich--Gulf Islands,Elizabeth May,Green Party,31199
59030,Similkameen--South Okanagan--West Kootenay,Barry Dewar,People's Party - PPC,654
59030,Similkameen--South Okanagan--West Kootenay,Gloria Morgan,Liberal,25431
59030,Similkameen--South Okanagan--West Kootenay,Helena Konanz,Conservative,30054
59030,Similkameen--South Okanagan--West Kootenay,Linda Sankey,NDP-New Democratic Party,11033
59030,Similkameen--South Okanagan--West Kootenay,Philip Mansfield,Green Party,1044
59031,Skeena--Bulkley Valley,Adeana Young,Green Party,528
59031,Skeena--Bulkley Valley,Ellis Ross,Conservative,21202
59031,Skeena--Bulkley Valley,Inderpal Dhillon,Liberal,4923
59031,Skeena--Bulkley Valley,Rod Taylor,Christian Heritage Party,602
59031,Skeena--Bulkley Valley,Taylor Bachrach,NDP-New Democratic Party,17677
59032,South Surrey--White Rock,Christine Kinnie,Green Party,875
59032,South Surrey--White Rock,Ernie Klassen,Liberal,33094
59032,South Surrey--White Rock,Jureun Park,NDP-New Democratic Party,1634
59032,South Surrey--White Rock,Kerry-Lynne Findlay,Conservative,29924
59033,Surrey Centre,Beverly Tanchak,People's Party - PPC,246
59033,Surrey Centre,Dominic Denofrio,NDP-New Democratic Party,2811
59033,Surrey Centre,Krishan Khurana,Green Party,395
59033,Surrey Centre,Rajvir Dhillon,Conservative,17920
59033,Surrey Centre,Randeep Sarai,Liberal,19900
59033,Surrey Centre,Ryan Abbott,Communist,182
59034,Surrey Newton,Harjit Singh Gill,Conservative,18023
59034,Surrey Newton,Raj Singh Toor,NDP-New Democratic Party,2467
59034,Surrey Newton,Salman Zafar,Communist,222
59034,Surrey Newton,Sukh Dhaliwal,Liberal,20263
59035,Vancouver Centre,Avi Lewis,NDP-New Democratic Party,6807
59035,Vancouver Centre,Christopher Varga,People's Party - PPC,211
59035,Vancouver Centre,Drew William McPherson,Independent,63
59035,Vancouver Centre,Elaine Allan,Conservative,16368
59035,Vancouver Centre,Hedy Fry,Liberal,29855
59035,Vancouver Centre,Scott MacDonald,Green Party,757
59036,Vancouver East,Jenny Kwan,NDP-New Democratic Party,24945
59036,Vancouver East,Kimball Cariou,Communist,329
59036,Vancouver East,Lita Cabal,Conservative,10162
59036,Vancouver East,Mark Wiens,Liberal,20287
59036,Vancouver East,Meghan Emily Murphy,People's Party - PPC,329
59036,Vancouver East,Nikida Steel,Green Party,1099
59037,Vancouver Fraserview--South Burnaby,Alexander Dow,Green Party,658
59037,Vancouver Fraserview--South Burnaby,Avi Nayyar,Conservative,18500
59037,Vancouver Fraserview--South Burnaby,Desiderio Magtanggol 'Bonn' Reyes,People's Party - PPC,482
59037,Vancouver Fraserview--South Burnaby,Gregor Robertson,Liberal,27117
59037,Vancouver Fraserview--South Burnaby,Manoj Bhangu,NDP-New Democratic Party,5088
59038,Vancouver Granville,Jerry Kroll,Green Party,945
59038,Vancouver Granville,Marie Rogers,Conservative,17133
59038,Vancouver Granville,Sukhi Singh Sahota,NDP-New Democratic Party,4489
59038,Vancouver Granville,Taleeb Noormohamed,Liberal,37010
59039,Vancouver Kingsway,Amy K. Gill,Liberal,18485
59039,Vancouver Kingsway,Don Davies,NDP-New Democratic Party,18788
59039,Vancouver Kingsway,Fiona Wang,People's Party - PPC,322
59039,Vancouver Kingsway,Imtiaz Popat,Green Party,499
59039,Vancouver Kingsway,Ravinder Bhatia,Conservative,12352
59040,Vancouver Quadra,Alim Fakirani,NDP-New Democratic Party,2391
59040,Vancouver Quadra,John Odan Ede,People's Party - PPC,182
59040,Vancouver Quadra,Ken Charko,Conservative,17008
59040,Vancouver Quadra,Tom Digby,Green Party,1032
59040,Vancouver Quadra,Wade Grant,Liberal,35384
59041,Vernon--Lake Country--Monashee,Anna Warwick Sears,Liberal,28769
59041,Vernon--Lake Country--Monashee,Blair Visscher,Green Party,1105
59041,Vernon--Lake Country--Monashee,Leah Ellen Main,NDP-New Democratic Party,3417
59041,Vernon--Lake Country--Monashee,Scott Anderson,Conservative,33850
59042,Victoria,Angus Ross,Conservative,12870
59042,Victoria,Cody Fraser,Parti Rhinocéros Party,109
59042,Victoria,David Mohr,People's Party - PPC,278
59042,Victoria,Laurel Collins,NDP-New Democratic Party,18877
59042,Victoria,Mary Moreau,Christian Heritage Party,83
59042,Victoria,Michael Doherty,Green Party,2350
59042,Victoria,Steve Filipovic,Independent,73
59042,Victoria,Will Greaves,Liberal,41128
59043,West Vancouver--Sunshine Coast--Sea to Sky Country,Gordon Jeffrey,Parti Rhinocéros Party,99
59043,West Vancouver--Sunshine Coast--Sea to Sky Country,Jäger Rosenberg,NDP-New Democratic Party,2070
59043,West Vancouver--Sunshine Coast--Sea to Sky Country,Keith Roy,Conservative,21181
59043,West Vancouver--Sunshine Coast--Sea to Sky Country,Lauren Greenlaw,Green Party,2205
59043,West Vancouver--Sunshine Coast--Sea to Sky Country,Patrick Weiler,Liberal,38384
59043,West Vancouver--Sunshine Coast--Sea to Sky Country,Peyman Askari,People's Party - PPC,308
60001,Yukon,Brendan Hanley,Liberal,12009
60001,Yukon,Gabrielle Dupont,Green Party,474
60001,Yukon,Katherine McCallum,NDP-New Democratic Party,1434
60001,Yukon,Ryan Leef,Conservative,8719
61001,Northwest Territories,Kelvin Kotchilea,NDP-New Democratic Party,2011
61001,Northwest Territories,Kimberly Fairman,Conservative,5513
61001,Northwest Territories,Rainbow Eyes,Green Party,170
61001,Northwest Territories,Rebecca Alty,Liberal,8855
62001,Nunavut,James T. Arreak,Conservative,1992
62001,Nunavut,Kilikvak Kabloona,Liberal,2812
62001,Nunavut,Lori Idlout,NDP-New Democratic Party,2853
